ASIN,end_time,product_name,reading_marketplace,start_time,total_reading_milliseconds
B002RI9176,2025-09-27T05:45:58.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-27T05:37:35.000Z,503700
B00A3D1HAQ,2025-09-27T04:17:00.400Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-27T04:16:50.900Z,9500
B00A3D1HAQ,2025-09-26T05:00:43.400Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-26T04:43:39.300Z,1024100
B00A3D1HAQ,2025-09-26T04:43:38.900Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-26T04:43:35Z,3900
B00A3D1HAQ,2025-09-26T04:43:33.700Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-26T04:25:57.500Z,1056200
B00A3D1HAQ,2025-09-26T04:24:48.900Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-26T03:38:17Z,2791900
B002RI9176,2025-09-26T03:35:05.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-26T03:29:09.900Z,355800
B00A3D1HAQ,2025-09-26T03:37:53.200Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-26T03:10:00.600Z,1672600
B00A3D1HAQ,2025-09-25T12:57:08.600Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-25T12:35:06.600Z,1322000
B00A3D1HAQ,2025-09-25T05:20:15.400Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-25T04:04:16.700Z,4558700
B00A3D1HAQ,2025-09-25T04:04:16.100Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-25T03:58:38.400Z,337700
B00A3D1HAQ,2025-09-25T03:58:36.900Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-25T03:58:27Z,9900
B002RI9176,2025-09-25T04:23:27.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-25T03:58:24.600Z,1502500
B002RI9176,2025-09-25T03:52:49.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-25T03:52:47.100Z,2000
B00A3D1HAQ,2025-09-25T03:41:52.900Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-25T03:22:46.200Z,1146700
B00A3D1HAQ,2025-09-25T03:22:45.300Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-25T03:14:37.400Z,487900
B002RI9176,2025-09-25T03:52:45.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-25T03:14:18.600Z,2307000
B002RI9176,2025-09-25T03:07:52.800Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-25T02:56:55Z,657800
B00A3D1HAQ,2025-09-25T03:12:09.200Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-25T02:05:12.900Z,4016300
B002RI9176,2025-09-24T21:25:25.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-24T21:25:04.400Z,21500
B002RI9176,2025-09-24T03:40:35Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-24T03:05:39.700Z,2095300
B00A3D1HAQ,2025-09-24T04:23:31.700Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-24T02:54:48.600Z,5323100
B002RI9176,2025-09-23T13:50:39.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-23T13:45:43Z,296900
B002RI9176,2025-09-23T13:42:03.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-23T13:25:24.100Z,999300
B002RI9176,2025-09-23T13:24:35.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-23T13:16:59Z,456900
B002RI9176,2025-09-23T13:11:36.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-23T13:09:51.300Z,104800
B002RI9176,2025-09-23T12:58:27.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-23T12:51:50.100Z,397800
B002RI9176,2025-09-23T12:51:27Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-23T12:41:16.700Z,610300
B00A3D1HAQ,2025-09-23T05:06:53.400Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-23T04:08:41.400Z,3492000
B002RI9176,2025-09-23T03:37:28.800Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-23T03:37:27.500Z,1300
B002RI9176,2025-09-23T03:37:26.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-23T03:29:22.800Z,483600
B002RI9176,2025-09-23T03:29:17.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-23T03:03:43.700Z,1533700
B002RI9176,2025-09-23T03:03:26.500Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-23T02:59:33Z,233500
B002RI9176,2025-09-23T02:58:06.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-23T02:52:02Z,364600
B002RI9176,2025-09-23T02:51:33.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-23T02:49:15.300Z,138400
B002RI9176,2025-09-23T02:42:00.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-23T02:41:26.100Z,34600
B002RI9176,2025-09-22T04:38:15.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-22T04:21:14.400Z,1021300
B002RI9176,2025-09-22T04:20:36Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-22T04:11:44.500Z,531500
B002RI9176,2025-09-22T03:09:02.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-22T02:47:33.700Z,1289200
B002RI9176,2025-09-22T01:23:41.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-22T01:23:09.900Z,32000
B002RI9176,2025-09-21T05:26:28.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T05:19:44.100Z,404100
B002RI9176,2025-09-21T05:19:36.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T05:12:11.400Z,444800
B002RI9176,2025-09-21T04:56:48.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:41:46.200Z,901900
B002RI9176,2025-09-21T04:33:33Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:32:53.600Z,39400
B002RI9176,2025-09-21T04:30:58.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:17:21.400Z,817200
B002RI9176,2025-09-21T04:16:51.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:11:19.200Z,332400
B002RI9176,2025-09-21T04:10:44.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:10:32.600Z,12300
B002RI9176,2025-09-21T04:08:55.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:08:31.100Z,24100
B002RI9176,2025-09-21T04:07:16.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:05:27.600Z,108500
B002RI9176,2025-09-21T04:04:24.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:04:08.500Z,15900
B002RI9176,2025-09-21T04:03:06.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:02:58.200Z,8000
B002RI9176,2025-09-21T04:02:51.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:02:10.400Z,41500
B002RI9176,2025-09-21T03:23:43.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T03:23:34.400Z,8700
B002RI9176,2025-09-21T02:46:49.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:46:03.800Z,45600
B002RI9176,2025-09-21T02:44:52Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:44:42.900Z,9100
B002RI9176,2025-09-21T02:44:43.500Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:44:31.600Z,11900
B002RI9176,2025-09-21T02:44:32Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:44:09.800Z,22200
B002RI9176,2025-09-21T02:44:10.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:42:29.700Z,100700
B002RI9176,2025-09-21T02:42:30Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:42:13.800Z,16200
B002RI9176,2025-09-21T02:42:14.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:42:07.700Z,6700
B002RI9176,2025-09-21T02:42:08Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:41:57.100Z,10900
B002RI9176,2025-09-21T02:41:51.800Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T02:40:31.200Z,80600
B002RI9176,2025-09-21T00:49:07.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T00:48:37.400Z,29800
B002RI9176,2025-09-21T00:48:31.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T00:47:38.900Z,52700
B002RI9176,2025-09-21T00:23:49.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T00:23:24.600Z,25300
B002RI9176,2025-09-21T00:08:59.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T00:08:51.100Z,8300
B002RI9176,2025-09-20T23:50:46Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:49:45.300Z,60700
B002RI9176,2025-09-20T23:39:08.500Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:39:06.600Z,1900
B002RI9176,2025-09-20T23:34:37.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:33:56.100Z,41100
B002RI9176,2025-09-20T23:32:33.800Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:32:27.300Z,6500
B002RI9176,2025-09-20T23:30:32.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:30:24.800Z,7900
B002RI9176,2025-09-20T23:30:03.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:29:58.400Z,4800
B002RI9176,2025-09-20T23:27:00.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:24:38.600Z,142000
B002RI9176,2025-09-20T23:23:16.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:22:46.400Z,30000
B002RI9176,2025-09-20T23:20:53.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:20:47.400Z,6200
B002RI9176,2025-09-20T23:20:10.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:20:06.100Z,4100
B002RI9176,2025-09-20T23:18:07.300Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:17:49.700Z,17600
B002RI9176,2025-09-20T23:17:25.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:17:01.600Z,24100
B002RI9176,2025-09-20T23:16:53.300Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:16:40.800Z,12500
B002RI9176,2025-09-20T23:15:30.500Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T23:15:19.100Z,11400
B002RI9176,2025-09-20T21:28:06.800Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T21:27:53.600Z,13200
B002RI9176,2025-09-20T21:27:01.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T21:26:49.400Z,11700
B002RI9176,2025-09-20T21:26:32.300Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T21:26:24.300Z,8000
B002RI9176,2025-09-20T21:24:40.300Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T21:24:28.600Z,11700
B00A3D1HAQ,2025-09-20T15:01:35.800Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-20T15:01:27Z,8800
B00A3D1HAQ,2025-09-20T14:26:01.100Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-20T14:26:01.100Z,0
B002RI9176,2025-09-20T06:17:42Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T06:05:22.600Z,739400
B00A3D1HAQ,2025-09-20T06:14:39.400Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-20T05:57:04.700Z,1054700
B002RI9176,2025-09-20T02:37:34.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-20T02:37:27.700Z,6900
B00A3D1HAQ,2025-09-19T03:23:02.200Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-19T03:18:55.700Z,246500
B002RI9176,2025-09-19T03:30:08.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-19T03:11:45.500Z,1102700
B002RI9176,2025-09-19T03:11:29.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-19T03:04:22.200Z,427700
B002RI9176,2025-09-19T02:58:25.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-19T02:48:12.100Z,613800
B00A3D1HAQ,2025-09-19T03:18:38.300Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-19T02:39:48Z,2330300
B002RI9176,2025-09-18T04:38:48.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-18T04:24:24.300Z,864400
B002RI9176,2025-09-18T04:16:34.800Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-18T04:16:30.300Z,4500
B002RI9176,2025-09-18T04:15:17.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-18T03:34:47.500Z,2429600
B00A3D1HAQ,2025-09-17T03:20:51.500Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-17T02:59:19.400Z,1292100
B00A3D1HAQ,2025-09-17T02:57:57.900Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-17T02:40:42.700Z,1035200
B00A3D1HAQ,2025-09-17T02:34:42.600Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-17T02:27:03.700Z,458900
B00A3D1HAQ,2025-09-16T04:50:02Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-16T04:35:14.800Z,887200
B002RI9176,2025-09-16T03:10:38Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-16T02:54:58.800Z,939200
B002RI9176,2025-09-16T02:48:48Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-16T02:44:34.600Z,253400
B002RI9176,2025-09-16T02:44:30.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-16T02:43:29.300Z,61100
B00A3D1HAQ,2025-09-15T17:40:59.300Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-15T17:40:57.300Z,2000
B00A3D1HAQ,2025-09-15T17:32:31.400Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-15T17:31:41.200Z,50200
B00A3D1HAQ,2025-09-15T17:25:24.200Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-15T17:16:29.500Z,534700
B00A3D1HAQ,2025-09-15T15:56:07.600Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-15T15:46:57.200Z,550400
B00A3D1HAQ,2025-09-15T15:44:43.400Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-15T15:44:36.500Z,6900
B00A3D1HAQ,2025-09-15T15:40:23.200Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-15T15:35:09.900Z,313300
B002RI9176,2025-09-15T04:24:04.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-15T04:24:02.300Z,1800
B002RI9176,2025-09-15T04:23:16.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-15T04:09:36.700Z,820000
B002RI9176,2025-09-15T04:09:11.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-15T04:09:01.700Z,10000
B002RI9176,2025-09-15T04:08:51Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-15T04:08:30.800Z,20200
B00A3D1HAQ,2025-09-15T04:09:05.900Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-15T04:08:28.100Z,37800
B002RI9176,2025-09-15T04:07:01.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-15T03:47:27.300Z,1173900
B00A3D1HAQ,2025-09-15T04:08:27.500Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-15T03:40:40.100Z,1667400
B002RI9176,2025-09-15T01:26:48.300Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-15T01:26:46.300Z,2000
B002RI9176,2025-09-15T00:52:41.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-15T00:52:29.300Z,11900
B002RI9176,2025-09-15T00:50:04.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-15T00:49:58.200Z,6500
B002RI9176,2025-09-15T00:49:50.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-15T00:49:44.600Z,6300
B002RI9176,2025-09-15T00:49:16.300Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-15T00:48:53.600Z,22700
B002RI9176,2025-09-14T05:34:56.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-14T05:02:31.300Z,1945300
B002RI9176,2025-09-14T04:48:56.500Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-14T04:48:48Z,8500
B002RI9176,2025-09-14T04:46:33.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-14T04:46:07Z,26900
B00A3D1HAQ,2025-09-13T21:17:27.500Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-13T21:16:30.400Z,57100
B002RI9176,2025-09-13T21:30:30Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-13T21:15:08.200Z,921800
B002RI9176,2025-09-13T21:14:51Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-13T21:08:01.600Z,409400
B002RI9176,2025-09-13T21:07:00.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-13T21:06:54.100Z,6800
B002RI9176,2025-09-13T21:06:34.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-13T21:06:22.600Z,11800
B002RI9176,2025-09-13T21:05:55.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-13T21:05:29Z,26900
B002RI9176,2025-09-13T21:03:36.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-13T21:03:16.200Z,20000
B002RI9176,2025-09-13T21:01:14.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-13T21:01:06.400Z,7800
B002RI9176,2025-09-13T20:57:08.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-13T20:56:40.900Z,27800
B002RI9176,2025-09-13T20:56:27.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-13T20:56:24.800Z,3100
B002RI9176,2025-09-13T20:54:57.300Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-13T20:54:49.500Z,7800
B002RI9176,2025-09-13T20:53:50.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-13T20:53:42.700Z,8200
B002RI9176,2025-09-13T20:52:25.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-13T20:52:18.300Z,7400
B002RI9176,2025-09-13T00:06:56Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-13T00:06:18.200Z,37800
B002RI9176,2025-09-12T04:31:53.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-12T04:01:43.200Z,1810700
B002RI9176,2025-09-12T04:00:04.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-12T03:59:38.900Z,25800
B002RI9176,2025-09-12T03:58:05.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-12T03:57:11.700Z,53900
B002RI9176,2025-09-11T03:26:05.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-11T03:26:01.200Z,4500
B002RI9176,2025-09-11T02:43:57.500Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-11T02:38:26.300Z,331200
B002RI9176,2025-09-11T02:23:19.800Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-11T02:16:53.600Z,386200
B002RI9176,2025-09-10T00:04:37.300Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-10T00:01:26.900Z,190400
B002RI9176,2025-09-10T00:01:18.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-10T00:00:58.700Z,20200
B002RI9176,2025-09-09T03:56:14.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-09T03:51:42.300Z,271800
B002RI9176,2025-09-09T03:47:51.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-09T03:22:22Z,1529400
B002RI9176,2025-09-09T03:21:05.800Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-09T03:21:02Z,3800
B002RI9176,2025-09-09T03:15:40.300Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-09T03:10:49.500Z,290800
B002RI9176,2025-09-08T18:46:45.800Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T18:46:01.100Z,44700
B002RI9176,2025-09-08T17:40:25.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T17:40:17.400Z,8200
B002RI9176,2025-09-08T17:40:04.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T17:32:04.900Z,479500
B002RI9176,2025-09-08T17:29:00.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T17:28:55.900Z,4500
B002RI9176,2025-09-08T17:27:45.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T17:27:35.400Z,10300
B002RI9176,2025-09-08T17:01:01.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T16:59:56.900Z,64500
